127.0.0.1 - - [26/Jun/2024:13:44:19 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:44:23 +0530] "GET /my-fashion-app/index.jsp HTTP/1.1" 200 55352
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:44:23 +0530] "GET /my-fashion-app/other/stylesheet.css?modified=20012009 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:44:23 +0530] "GET /my-fashion-app/images/home/Screenshot%202024-06-19%20130831.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:44:23 +0530] "GET /my-fashion-app/images/home/pink.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:44:23 +0530] "GET /my-fashion-app/images/home/fun.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:44:23 +0530] "GET /my-fashion-app/img/product/co-ord1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:44:23 +0530] "GET /my-fashion-app/img/product/denime1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:44:23 +0530] "GET /my-fashion-app/img/product/denime2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:44:23 +0530] "GET /my-fashion-app/img/product/dress1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:44:23 +0530] "GET /my-fashion-app/img/product/dress2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:44:23 +0530] "GET /my-fashion-app/img/product/short1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:44:23 +0530] "GET /my-fashion-app/img/product/short2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:44:23 +0530] "GET /my-fashion-app/img/product/tee1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:44:23 +0530] "GET /my-fashion-app/img/product/tee2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:44:23 +0530] "GET /my-fashion-app/img/product/top1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:44:23 +0530] "GET /my-fashion-app/images/categories/co-ords.png HTTP/1.1" 304 -
