127.0.0.1 - - [07/Jul/2024:18:31:46 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:31:49 +0530] "GET /my-fashion-app/index.jsp HTTP/1.1" 200 58092
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:31:50 +0530] "GET /my-fashion-app/other/stylesheet.css?modified=20012009 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:31:50 +0530] "GET /my-fashion-app/javascript/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:32:03 +0530] "GET /my-fashion-app/login.jsp HTTP/1.1" 200 15652
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:32:04 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:32:09 +0530] "GET /my-fashion-app/registor.jsp HTTP/1.1" 200 18726
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:32:17 +0530] "GET /my-fashion-app/login.jsp HTTP/1.1" 200 15652
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:32:30 +0530] "POST /my-fashion-app/loginServlet HTTP/1.1" 200 58270
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:32:33 +0530] "GET /my-fashion-app/product.jsp?category=all HTTP/1.1" 200 112777
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:32:33 +0530] "GET /my-fashion-app/other/product.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:32:54 +0530] "GET /my-fashion-app/wishlist.jsp HTTP/1.1" 200 30141
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:32:54 +0530] "GET /my-fashion-app/other/addtocart.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:33:10 +0530] "GET /my-fashion-app/addtocart.jsp HTTP/1.1" 200 26923
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:33:10 +0530] "GET /my-fashion-app/javascript/cart.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:33:15 +0530] "GET /my-fashion-app/wishlist.jsp HTTP/1.1" 200 30141
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:37:57 +0530] "GET /my-fashion-app/wishlist.jsp HTTP/1.1" 200 30196
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:37:57 +0530] "GET /my-fashion-app/other/stylesheet.css?modified=20012009 HTTP/1.1" 200 5778
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:37:57 +0530] "GET /my-fashion-app/javascript/main.js HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:37:57 +0530] "GET /my-fashion-app/img/product/co-ord1.png HTTP/1.1" 200 213589
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:37:57 +0530] "GET /my-fashion-app/other/addtocart.css HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:37:57 +0530] "GET /my-fashion-app/img/product/denime1.png HTTP/1.1" 200 129038
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:37:58 +0530] "GET /my-fashion-app/img/product/denime2.png HTTP/1.1" 200 114712
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:37:58 +0530] "GET /my-fashion-app/img/product/dress1.png HTTP/1.1" 200 237084
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:37:58 +0530] "GET /my-fashion-app/images/footer/amazonpay.svg HTTP/1.1" 200 8763
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:37:58 +0530] "GET /my-fashion-app/images/footer/american-express.svg HTTP/1.1" 200 12734
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:37:58 +0530] "GET /my-fashion-app/images/footer/paypal.svg HTTP/1.1" 200 5586
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:37:58 +0530] "GET /my-fashion-app/images/footer/mastercard.svg HTTP/1.1" 200 12102
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:37:58 +0530] "GET /my-fashion-app/images/footer/visa.svg HTTP/1.1" 200 3371
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:37:58 +0530] "GET /my-fashion-app/images/footer/appstore-btn.svg HTTP/1.1" 200 12812
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:37:58 +0530] "GET /my-fashion-app/images/footer/googleplay-btn.svg HTTP/1.1" 200 9502
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:37:59 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:39:30 +0530] "GET /my-fashion-app/wishlist.jsp HTTP/1.1" 200 30174
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:39:33 +0530] "GET /my-fashion-app/wishlist.jsp HTTP/1.1" 200 30174
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:39:33 +0530] "GET /my-fashion-app/other/stylesheet.css?modified=20012009 HTTP/1.1" 200 5778
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:39:33 +0530] "GET /my-fashion-app/javascript/main.js HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:39:33 +0530] "GET /my-fashion-app/other/addtocart.css HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:39:33 +0530] "GET /my-fashion-app/img/product/co-ord1.png HTTP/1.1" 200 213589
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:39:33 +0530] "GET /my-fashion-app/img/product/denime1.png HTTP/1.1" 200 129038
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:39:33 +0530] "GET /my-fashion-app/img/product/denime2.png HTTP/1.1" 200 114712
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:39:33 +0530] "GET /my-fashion-app/img/product/dress1.png HTTP/1.1" 200 237084
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:39:33 +0530] "GET /my-fashion-app/images/footer/amazonpay.svg HTTP/1.1" 200 8763
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:39:33 +0530] "GET /my-fashion-app/images/footer/american-express.svg HTTP/1.1" 200 12734
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:39:33 +0530] "GET /my-fashion-app/images/footer/paypal.svg HTTP/1.1" 200 5586
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:39:33 +0530] "GET /my-fashion-app/images/footer/visa.svg HTTP/1.1" 200 3371
